+------------------------------------------+
|    X    |    Y    |          P           |
+------------------------------------------+
|    0.000|    0.000| 1.317225000000000e+07|
|   18.750|    0.000| 1.317225000000000e+07|
|   37.500|    0.000| 1.317225000000000e+07|
|   56.250|    0.000| 1.317225000000000e+07|
|   75.000|    0.000| 1.317225000000000e+07|
|   93.750|    0.000| 1.317225000000000e+07|
|  112.500|    0.000| 1.317225000000000e+07|
|  131.250|    0.000| 1.317225000000000e+07|
|  150.000|    0.000| 1.317225000000000e+07|
|  168.750|    0.000| 1.317225000000000e+07|
|  187.500|    0.000| 1.317225000000000e+07|
|  206.250|    0.000| 1.317225000000000e+07|
|  225.000|    0.000| 1.317225000000000e+07|
|  243.750|    0.000| 1.317225000000000e+07|
|  262.500|    0.000| 1.317225000000000e+07|
|  281.250|    0.000| 1.317225000000000e+07|
|  300.000|    0.000| 1.317225000000000e+07|
|    0.000|   18.750| 1.317225000000000e+07|
|   18.750|   18.750|-7.536092704051752e+11|
|   37.500|   18.750|-1.530407167469000e+12|
|   56.250|   18.750|-2.354259139769658e+12|
|   75.000|   18.750|-3.249496429845753e+12|
|   93.750|   18.750|-4.237586019299260e+12|
|  112.500|   18.750|-5.325878064210787e+12|
|  131.250|   18.750|-6.479529700311396e+12|
|  150.000|   18.750|-7.584283556645932e+12|
|  168.750|   18.750|-8.431457752795555e+12|
|  187.500|   18.750|-8.771628638326472e+12|
|  206.250|   18.750|-8.427705478663461e+12|
|  225.000|   18.750|-7.393066549761264e+12|
|  243.750|   18.750|-5.830024528997305e+12|
|  262.500|   18.750|-3.969191252419299e+12|
|  281.250|   18.750|-1.995845643655094e+12|
|  300.000|   18.750| 1.317225000000000e+07|
|    0.000|   37.500| 1.317225000000000e+07|
|   18.750|   37.500|-1.484361303836091e+12|
|   37.500|   37.500|-3.014171553186368e+12|
|   56.250|   37.500|-4.636895589304731e+12|
|   75.000|   37.500|-6.403141895101426e+12|
|   93.750|   37.500|-8.364128312040916e+12|
|  112.500|   37.500|-1.055808296994515e+13|
|  131.250|   37.500|-1.296773702883956e+13|
|  150.000|   37.500|-1.540029549959978e+13|
|  168.750|   37.500|-1.739528798837114e+13|
|  187.500|   37.500|-1.830020585617107e+13|
|  206.250|   37.500|-1.761841154736054e+13|
|  225.000|   37.500|-1.533837075443833e+13|
|  243.750|   37.500|-1.193005960538053e+13|
|  262.500|   37.500|-8.009547586729031e+12|
|  281.250|   37.500|-3.988092171342439e+12|
|  300.000|   37.500| 1.317225000000000e+07|
|    0.000|   56.250| 1.317225000000000e+07|
|   18.750|   56.250|-2.170415138642358e+12|
|   37.500|   56.250|-4.406326817735865e+12|
|   56.250|   56.250|-6.777097998328109e+12|
|   75.000|   56.250|-9.360263713001684e+12|
|   93.750|   56.250|-1.224540795922138e+13|
|  112.500|   56.250|-1.553316944570184e+13|
|  131.250|   56.250|-1.931122722993596e+13|
|  150.000|   56.250|-2.354942976436562e+13|
|  168.750|   56.250|-2.748341097553300e+13|
|  187.500|   56.250|-2.964159186353170e+13|
|  206.250|   56.250|-2.863215260478661e+13|
|  225.000|   56.250|-2.444257063320559e+13|
|  243.750|   56.250|-1.843297508735146e+13|
|  262.500|   56.250|-1.202473045014198e+13|
|  281.250|   56.250|-5.905461954544138e+12|
|  300.000|   56.250| 1.317225000000000e+07|
|    0.000|   75.000| 1.317225000000000e+07|
|   18.750|   75.000|-2.792213341220264e+12|
|   37.500|   75.000|-5.666287609910312e+12|
|   56.250|   75.000|-8.709172007458738e+12|
|   75.000|   75.000|-1.202052480092575e+13|
|   93.750|   75.000|-1.572574114163247e+13|
|  112.500|   75.000|-1.999821139542175e+13|
|  131.250|   75.000|-2.509481952857766e+13|
|  150.000|   75.000|-3.138807220703630e+13|
|  168.750|   75.000|-3.935458765703165e+13|
|  187.500|   75.000|-4.483781696815690e+13|
|  206.250|   75.000|-4.351086131084279e+13|
|  225.000|   75.000|-3.536739190458565e+13|
|  243.750|   75.000|-2.471034225089861e+13|
|  262.500|   75.000|-1.564078751343189e+13|
|  281.250|   75.000|-7.580577431457756e+12|
|  300.000|   75.000| 1.317225000000000e+07|
|    0.000|   93.750| 1.317225000000000e+07|
|   18.750|   93.750|-3.333616485472248e+12|
|   37.500|   93.750|-6.761100194751385e+12|
|   56.250|   93.750|-1.038035889567359e+13|
|   75.000|   93.750|-1.430141602934324e+13|
|   93.750|   93.750|-1.866474066274687e+13|
|  112.500|   93.750|-2.368219512669721e+13|
|  131.250|   93.750|-2.972839006886057e+13|
|  150.000|   93.750|-3.756786099060201e+13|
|  168.750|   93.750|-4.901485144138395e+13|
|  187.500|   93.750|-7.135366704564342e+13|
|  206.250|   93.750|-6.971141284650213e+13|
|  225.000|   93.750|-4.410028662033073e+13|
|  243.750|   93.750|-2.939853388276723e+13|
|  262.500|   93.750|-1.827546191537451e+13|
|  281.250|   93.750|-8.798217134919518e+12|
|  300.000|   93.750| 1.317225000000000e+07|
|    0.000|  112.500| 1.317225000000000e+07|
|   18.750|  112.500|-3.782161023059358e+12|
|   37.500|  112.500|-7.667209231586696e+12|
|   56.250|  112.500|-1.175778296362987e+13|
|   75.000|  112.500|-1.615937832778274e+13|
|   93.750|  112.500|-2.099362943489596e+13|
|  112.500|  112.500|-2.643682904527577e+13|
|  131.250|  112.500|-3.281519973616693e+13|
|  150.000|  112.500|-4.084393252110695e+13|
|  168.750|  112.500|-5.230303476465173e+13|
|  187.500|  112.500|-7.446983937684222e+13|
|  206.250|  112.500|-7.249295584749116e+13|
|  225.000|  112.500|-4.642450754587918e+13|
|  243.750|  112.500|-3.118628737367914e+13|
|  262.500|  112.500|-1.948320593795829e+13|
|  281.250|  112.500|-9.405743797883701e+12|
|  300.000|  112.500| 1.317225000000000e+07|
|    0.000|  131.250| 1.317225000000000e+07|
|   18.750|  131.250|-4.127520523943090e+12|
|   37.500|  131.250|-8.367881265471486e+12|
|   56.250|  131.250|-1.282725250069259e+13|
|   75.000|  131.250|-1.759766726373729e+13|
|   93.750|  131.250|-2.275217887154261e+13|
|  112.500|  131.250|-2.835463015204184e+13|
|  131.250|  131.250|-3.450366830925412e+13|
|  150.000|  131.250|-4.140409167549693e+13|
|  168.750|  131.250|-4.941436318243975e+13|
|  187.500|  131.250|-5.435567188369870e+13|
|  206.250|  131.250|-5.197878185068209e+13|
|  225.000|  131.250|-4.241550345810601e+13|
|  243.750|  131.250|-3.011229848747474e+13|
|  262.500|  131.250|-1.928050114154239e+13|
|  281.250|  131.250|-9.408603770024984e+12|
|  300.000|  131.250| 1.317225000000000e+07|
|    0.000|  150.000| 1.317225000000000e+07|
|   18.750|  150.000|-4.358014609120515e+12|
|   37.500|  150.000|-8.844937579056672e+12|
|   56.250|  150.000|-1.357817169268307e+13|
|   75.000|  150.000|-1.864499168159295e+13|
|   93.750|  150.000|-2.406795263707832e+13|
|  112.500|  150.000|-2.976235242993598e+13|
|  131.250|  150.000|-3.550523075218523e+13|
|  150.000|  150.000|-4.090708016182341e+13|
|  168.750|  150.000|-4.494022397634734e+13|
|  187.500|  150.000|-4.609103109955052e+13|
|  206.250|  150.000|-4.315514497158501e+13|
|  225.000|  150.000|-3.642560062230386e+13|
|  243.750|  150.000|-2.754845096575267e+13|
|  262.500|  150.000|-1.813433085457645e+13|
|  281.250|  150.000|-8.965087944989057e+12|
|  300.000|  150.000| 1.317225000000000e+07|
|    0.000|  168.750| 1.317225000000000e+07|
|   18.750|  168.750|-4.456511190930648e+12|
|   37.500|  168.750|-9.067305830312238e+12|
|   56.250|  168.750|-1.397684301929980e+13|
|   75.000|  168.750|-1.929849440130163e+13|
|   93.750|  168.750|-2.506137306640816e+13|
|  112.500|  168.750|-3.107193323006616e+13|
|  131.250|  168.750|-3.678185242091155e+13|
|  150.000|  168.750|-4.125623763795180e+13|
|  168.750|  168.750|-4.345097334000036e+13|
|  187.500|  168.750|-4.264234282981726e+13|
|  206.250|  168.750|-3.879074676183370e+13|
|  225.000|  168.750|-3.254148126668763e+13|
|  243.750|  168.750|-2.486239721630925e+13|
|  262.500|  168.750|-1.661549467902118e+13|
|  281.250|  168.750|-8.281812631497415e+12|
|  300.000|  168.750| 1.317225000000000e+07|
|    0.000|  187.500| 1.317225000000000e+07|
|   18.750|  187.500|-4.398465074980041e+12|
|   37.500|  187.500|-8.983405950725734e+12|
|   56.250|  187.500|-1.394209752570143e+13|
|   75.000|  187.500|-1.945533949302476e+13|
|   93.750|  187.500|-2.566118609462477e+13|
|  112.500|  187.500|-3.252873456364087e+13|
|  131.250|  187.500|-3.920678387574423e+13|
|  150.000|  187.500|-4.401646671594509e+13|
|  168.750|  187.500|-4.524128986065697e+13|
|  187.500|  187.500|-4.251311443791061e+13|
|  206.250|  187.500|-3.695621819065376e+13|
|  225.000|  187.500|-3.000104067616071e+13|
|  243.750|  187.500|-2.259225072890205e+13|
|  262.500|  187.500|-1.504052793706926e+13|
|  281.250|  187.500|-7.499099153073337e+12|
|  300.000|  187.500| 1.317225000000000e+07|
|    0.000|  206.250| 1.317225000000000e+07|
|   18.750|  206.250|-4.154872205407062e+12|
|   37.500|  206.250|-8.525664939214631e+12|
|   56.250|  206.250|-1.334548781995997e+13|
|   75.000|  206.250|-1.888423875177264e+13|
|   93.750|  206.250|-2.547299526512969e+13|
|  112.500|  206.250|-3.351637998565401e+13|
|  131.250|  206.250|-4.345737257058842e+13|
|  150.000|  206.250|-5.102529388119569e+13|
|  168.750|  206.250|-5.171193014051176e+13|
|  187.500|  206.250|-4.531395990192283e+13|
|  206.250|  206.250|-3.599745447788838e+13|
|  225.000|  206.250|-2.784960517300902e+13|
|  243.750|  206.250|-2.041817159400211e+13|
|  262.500|  206.250|-1.340928728895705e+13|
|  281.250|  206.250|-6.645710204791728e+12|
|  300.000|  206.250| 1.317225000000000e+07|
|    0.000|  225.000| 1.317225000000000e+07|
|   18.750|  225.000|-3.700865958994393e+12|
|   37.500|  225.000|-7.630615236091684e+12|
|   56.250|  225.000|-1.204950974185677e+13|
|   75.000|  225.000|-1.729303092129206e+13|
|   93.750|  225.000|-2.385426315259169e+13|
|  112.500|  225.000|-3.259078915843682e+13|
|  131.250|  225.000|-4.535891520447571e+13|
|  150.000|  225.000|-6.941561717961487e+13|
|  168.750|  225.000|-6.979397550202906e+13|
|  187.500|  225.000|-4.637572364481877e+13|
|  206.250|  225.000|-3.392197296091364e+13|
|  225.000|  225.000|-2.504800083771756e+13|
|  243.750|  225.000|-1.786173191783371e+13|
|  262.500|  225.000|-1.154292819236756e+13|
|  281.250|  225.000|-5.673878583616574e+12|
|  300.000|  225.000| 1.317225000000000e+07|
|    0.000|  243.750| 1.317225000000000e+07|
|   18.750|  243.750|-3.027408400152895e+12|
|   37.500|  243.750|-6.268406407838860e+12|
